timestamp,type,exchange,chain,gross_profit,net_profit,pairs,category,unique
2025-08-13T10:28:37.903632,triangular,okx,USDT→OKB→BTC→USDT,0.449,0.059,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:28:39.296463,triangular,okx,USDT→OKB→BTC→USDT,0.5242,0.1342,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:28:58.910158,triangular,okx,USDT→OKB→BTC→USDT,0.41,0.02,"OKBUSDT,OKBBTC,BTCUSDT",loss,False
2025-08-13T10:29:02.870281,triangular,okx,USDT→OKB→BTC→USDT,0.4789,0.0889,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:29:08.401051,triangular,okx,USDT→OKB→BTC→USDT,0.5074,0.1174,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:30:19.288049,triangular,okx,USDT→OKB→BTC→USDT,0.4696,0.0796,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:30:34.500000,triangular,okx,USDT→OKB→BTC→USDT,0.5511,0.1611,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:30:35.895391,triangular,okx,USDT→OKB→BTC→USDT,0.5851,0.1951,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:32:27.746682,triangular,okx,USDT→OKB→BTC→USDT,0.4785,0.0885,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:32:29.264076,triangular,okx,USDT→OKB→BTC→USDT,0.7868,0.3968,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:32:30.629251,triangular,okx,USDT→OKB→BTC→USDT,1.1246,0.7346,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:32:31.988632,triangular,okx,USDT→OKB→BTC→USDT,1.1855,0.7955,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:32:33.359982,triangular,okx,USDT→OKB→BTC→USDT,1.0031,0.6131,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:32:34.732004,triangular,okx,USDT→OKB→BTC→USDT,1.307,0.917,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:32:36.071876,triangular,okx,USDT→OKB→BTC→USDT,1.014,0.624,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
2025-08-13T10:33:01.192119,triangular,okx,USDT→OKB→BTC→USDT,0.5653,0.1753,"OKBUSDT,OKBBTC,BTCUSDT",profit,False
